Neighbourhood_name,neighbourhood_id,percent_less_than_LIM,pm25_2016,greenness_2016,2021_LIMAT_PC,mean_pm25_2000_2016
L'Amoreaux,117,23.5,6.5,0.57,14.6,8.15
Tam O'Shanter-Sullivan,118,23.8,6.57,0.57,14.4,8.21
Wexford/Maryvale,119,19.2,6.77,0.55,11.6,8.45
Clairlea-Birchmount,120,19.5,7.06,0.55,11.5,8.77
Oakridge,121,42.6,7.23,0.59,22.5,8.93
Birchcliffe-Cliffside,122,14.5,7.15,0.66,9.7,8.86
Cliffcrest,123,17.9,6.78,0.68,11.1,8.49
Kennedy Park,124,26.3,6.8,0.55,17,8.49
Ionview,125,23.3,6.81,0.59,13.8,8.5
Dorset Park,126,22.3,6.78,0.52,13,8.43
Bendale,127,23.4,6.8,0.54,14.3,8.48
Agincourt South-Malvern West,128,22.6,6.68,0.55,13,8.31
Agincourt North,129,21.3,6.6,0.54,12.4,8.17
Milliken,130,22.1,6.55,0.48,14.6,8.13
Rouge,131,9.5,7.07,0.61,5.9,8.7
Malvern,132,20.4,6.93,0.55,10.9,8.51
Centennial Scarborough,133,6.2,7.28,0.65,4.4,8.95
Highland Creek,134,10.5,7.19,0.62,6.4,8.85
Morningside,135,23.8,7.04,0.64,12.4,8.68
West Hill,136,25.2,7.26,0.64,15.2,8.9
Woburn,137,27.2,6.93,0.61,15.7,8.58
Eglinton East,138,26,6.78,0.58,13.9,8.46
Scarborough Village,139,32.4,6.87,0.63,17.1,8.55
Guildwood,140,7.7,7.22,0.66,5.8,8.88
,,,,,,9.38
,,,,,,8.1
